hand_count,Position,player_nickname,player_id,Stack,Profit
40,-1,Oogwhey,2bh5Tq53IL,500.0,0.0
41,#9,MS,5qVbrQw2gS,761.0,11.0
41,#7,tefy,mfsSSCynd7,503.0,3.0
41,#5,alex,6_sDk2RBW8,792.0,42.0
41,#4,Solstice,VE6CjkevP7,996.0,496.0
41,#3,g,ZLzUxKGvQY,440.0,-310.0
41,#2,AndrewE8,ychRcKVV_K,240.0,-260.0
41,#10,ADURRRR,cUjvHJzz-e,574.0,74.0
41,#1,AJB,G5tNeuz87W,444.0,-56.0
42,#9,MS,5qVbrQw2gS,761.0,11.0
42,#7,tefy,mfsSSCynd7,503.0,3.0
42,#5,alex,6_sDk2RBW8,819.0,69.0
42,#4,Solstice,VE6CjkevP7,996.0,496.0
42,#3,g,ZLzUxKGvQY,435.0,-315.0
42,#2,AndrewE8,ychRcKVV_K,238.0,-262.0
42,#10,ADURRRR,cUjvHJzz-e,567.0,67.0
42,#1,AJB,G5tNeuz87W,431.0,-69.0
43,#9,MS,5qVbrQw2gS,761.0,11.0
43,#8,8max,7XVNwQXMN4,1.0,0.0
43,#7,tefy,mfsSSCynd7,503.0,3.0
43,#6,8max1,oLknYeFeKc,1.0,0.0
43,#5,alex,6_sDk2RBW8,819.0,69.0
43,#4,Solstice,VE6CjkevP7,981.0,481.0
43,#3,g,ZLzUxKGvQY,433.0,-317.0
43,#2,AndrewE8,ychRcKVV_K,493.0,-7.0
43,#10,ADURRRR,cUjvHJzz-e,567.0,67.0
43,#1,AJB,G5tNeuz87W,193.0,-307.0
43,-1,8max1,oLknYeFeKc,1.0,0.0
43,-1,8max,7XVNwQXMN4,1.0,0.0
44,#9,MS,5qVbrQw2gS,746.0,-4.0
44,#7,tefy,mfsSSCynd7,503.0,3.0
44,#5,alex,6_sDk2RBW8,886.0,136.0
44,#4,Solstice,VE6CjkevP7,979.0,479.0
44,#3,g,ZLzUxKGvQY,433.0,-317.0
44,#2,AndrewE8,ychRcKVV_K,493.0,-7.0
44,#10,ADURRRR,cUjvHJzz-e,517.0,17.0
44,#1,AJB,G5tNeuz87W,193.0,-307.0
45,#9,MS,5qVbrQw2gS,746.0,-4.0
45,#7,tefy,mfsSSCynd7,498.0,-2.0
45,#5,alex,6_sDk2RBW8,884.0,134.0
45,#4,Solstice,VE6CjkevP7,462.0,-38.0
45,#3,g,ZLzUxKGvQY,433.0,-317.0
45,#2,AndrewE8,ychRcKVV_K,478.0,-22.0
45,#10,ADURRRR,cUjvHJzz-e,1056.0,556.0
45,#1,AJB,G5tNeuz87W,193.0,-307.0
46,#9,MS,5qVbrQw2gS,741.0,-9.0
46,#7,tefy,mfsSSCynd7,496.0,-4.0
46,#5,alex,6_sDk2RBW8,901.0,151.0
